timestamp,plate,status
2026-04-19 18:32:40,UP78HE3137,UNKNOWN
2026-04-19 18:32:52,UP78FP7627,UNKNOWN
2026-04-19 18:33:14,OD78HY6050,UNKNOWN
2026-04-19 18:33:28,UP78H95531,UNKNOWN
2026-04-19 18:33:49,UP08EC9470,UNKNOWN
2026-04-19 18:35:07,UP78HE3137,UNKNOWN
2026-04-19 18:35:18,UP78FP7627,UNKNOWN
2026-04-19 19:30:02,UP78HE3137,UNKNOWN
2026-04-19 19:30:11,UP78FP7627,UNKNOWN
2026-04-19 19:32:29,UP78H95531,UNKNOWN
2026-04-19 19:32:56,UP08EC9470,UNKNOWN
2026-04-19 19:33:21,UP78CZ4000,UNKNOWN
2026-04-19 19:40:19,UP78HE3137,UNKNOWN
2026-04-19 19:40:31,UP78FP7627,UNKNOWN
2026-04-19 19:40:54,OD78HY6050,UNKNOWN
2026-04-19 19:41:07,UP78H95531,UNKNOWN
2026-04-19 19:41:39,UP08EC9470,UNKNOWN
2026-04-19 19:41:55,UP78CZ4000,UNKNOWN
2026-04-19 19:46:50,UP78HE3137,UNKNOWN
2026-04-19 19:47:02,UP78FP7627,UNKNOWN
2026-04-19 19:47:28,OD78HY6050,UNKNOWN
2026-04-19 19:47:43,UP78H95531,UNKNOWN
2026-04-19 19:48:09,UP18HE3331,UNKNOWN
2026-04-19 19:50:08,UP08EC9470,UNKNOWN
2026-04-19 19:50:43,UP78CZ4000,UNKNOWN
2026-04-19 19:52:52,OD78UV3337,UNKNOWN
2026-04-19 19:54:17,UP06CR1765,UNKNOWN
2026-04-19 19:56:31,UP79I97512,UNKNOWN
2026-04-19 19:56:42,OD25263649,UNKNOWN
2026-04-19 20:04:01,UP78HE3137,UNKNOWN
2026-04-19 20:04:10,UP18HE3331,UNKNOWN
2026-04-19 20:10:59,UP78HE3137,UNKNOWN
2026-04-19 20:11:24,UP78FP7627,UNKNOWN
2026-04-19 22:04:56,UP78HE3137,UNKNOWN
2026-04-19 22:07:12,UP78HE3137,UNKNOWN
2026-04-19 22:07:24,UP78FP7627,UNKNOWN
2026-04-19 22:07:39,OD78HY6050,UNKNOWN
2026-04-19 22:14:47,UP78HE3137,UNKNOWN
2026-04-19 22:14:58,UP78FP7627,UNKNOWN
2026-04-19 22:15:36,UP78HE3137,UNKNOWN
2026-04-19 22:15:41,UP78FP7627,UNKNOWN
2026-04-19 22:16:33,UP78HE3137,UNKNOWN
2026-04-19 22:16:45,UP78FP7627,UNKNOWN
2026-04-19 22:17:05,OD78HY6050,UNKNOWN
2026-04-19 22:17:12,UP78H95531,UNKNOWN
2026-04-19 22:17:33,UP08EC9470,UNKNOWN
2026-04-19 22:17:51,UP78CZ4000,UNKNOWN
2026-04-20 11:16:13,UP78HE3137,UNKNOWN
2026-04-20 11:16:25,UP78FP7627,UNKNOWN
2026-04-20 20:59:48,UP78HE3137,UNKNOWN
2026-04-20 21:02:22,UP78HE3137,UNKNOWN
2026-04-21 13:23:32,UP78HE3137,UNKNOWN
2026-04-21 20:47:39,UP78HE3137,UNKNOWN
2026-04-21 21:13:54,UP78HE3137,UNKNOWN
